"0","library(""scatterplot3d"", lib.loc=""/Library/Frameworks/R.framework/Versions/3.4/Resources/library"")"
"0","team_cluster <- read_csv(""~/src/aibook/src/chapter7/data/nba_2017_att_val_elo_win_housing_cluster.csv"", "
"0","                         col_types = cols(X1 = col_skip()))"
"2","Missing column names filled in: 'X1' [1]"
"0","cluster_to_numeric <- function(column){"
"0","    converted_column <- as.numeric(unlist(column))"
"0","    return(converted_column)"
"0","}"
"0","team_cluster$pcolor[team_cluster$cluster == 0] <- ""red"""
"2","Unknown or uninitialised column: 'pcolor'."
"0","team_cluster$pcolor[team_cluster$cluster == 1] <- ""blue"""
"0","team_cluster$pcolor[team_cluster$cluster == 2] <- ""darkgreen"""
"0","s3d <- scatterplot3d("
"0","    cluster_to_numeric(team_cluster[""VALUE_MILLIONS""]),"
"0","    cluster_to_numeric(team_cluster[""MEDIAN_HOME_PRICE_COUNTY_MILLIONS""]),"
"0","    cluster_to_numeric(team_cluster[""ELO""]),"
"0","    color = team_cluster$pcolor, "
"0","    pch=19,"
"0","    type=""h"", "
"0","    lty.hplot=2,"
"0","    main=""3-D Scatterplot NBA Teams 2016-2017:  Value, Performance, Home Prices with kNN Clustering"","
"0","    zlab=""Team Performance (ELO)"","
"0","    xlab=""Value of Team in Millions"","
"0","    ylab=""Median Home Price County Millions"""
"0",")"
